id,event_timestamp,user_id,amount,interface,currency,tx_status
1521,2020-01-10 14:11:05.63+00,c8fbbc86abe8bd6a5eb6a3b4d0411301,10.000000000000000000,app,mxn,complete
1522,2020-01-10 18:26:02.853+00,c8fbbc86abe8bd6a5eb6a3b4d0411301,5.000000000000000000,app,mxn,complete
1523,2020-01-10 18:26:45.66+00,c8fbbc86abe8bd6a5eb6a3b4d0411301,10.000000000000000000,app,mxn,failed
1572,2020-01-17 19:51:50.49+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1588,2020-01-18 00:07:18.364+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1589,2020-01-18 06:22:05.01+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1590,2020-01-18 06:27:59.517+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1591,2020-01-18 15:43:23.522+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1592,2020-01-18 19:33:21.43+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1593,2020-01-18 21:29:38.429+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1626,2020-01-24 19:26:30.216+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1627,2020-01-24 19:28:04.153+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1637,2020-02-04 21:39:21.295+00,0d7de1aca9299fe63f3e0041f02638a3,1000.000000000000000000,web,mxn,failed
1645,2020-02-10 21:19:56.838+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1646,2020-02-10 21:51:26.964+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1647,2020-02-10 21:55:40.099+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1648,2020-02-10 21:58:29.851+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1649,2020-02-10 21:59:58.589+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1650,2020-02-10 22:02:16.144+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1651,2020-02-10 22:03:02.964+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1652,2020-02-10 22:10:39.169+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1653,2020-02-11 18:34:27.076+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1654,2020-02-11 18:37:46.394+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1655,2020-02-11 18:42:13.302+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1656,2020-02-11 18:44:41.253+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1657,2020-02-11 18:52:17.292+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1658,2020-02-11 18:57:12.844+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1659,2020-02-11 20:16:43.179+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1660,2020-02-11 20:46:32.376+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1661,2020-02-11 20:50:31.104+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1662,2020-02-11 20:56:07.744+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1663,2020-02-11 20:57:30.416+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1664,2020-02-11 20:59:09.278+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1665,2020-02-11 20:59:55.259+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1666,2020-02-11 21:01:05.036+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1667,2020-02-11 21:02:48.304+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1668,2020-02-11 21:09:47.122+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1669,2020-02-11 21:29:33.58+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1670,2020-02-11 21:30:53.82+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1671,2020-02-11 21:32:56.585+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1672,2020-02-11 21:45:38.722+00,8a0e1141fd37fa5b98d5bb769ba1a7cc,5.000000000000000000,app,mxn,complete
1673,2020-02-11 22:31:13.82+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1674,2020-02-11 22:55:37.988+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1675,2020-02-11 22:57:15.028+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1676,2020-02-11 23:04:54.154+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1677,2020-02-11 23:10:22.024+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1678,2020-02-11 23:16:43.802+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1679,2020-02-11 23:37:46.066+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1680,2020-02-11 23:43:54.007+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1681,2020-02-12 00:54:01.858+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1682,2020-02-12 00:55:23.688+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1683,2020-02-12 10:45:18.78+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1684,2020-02-12 10:48:05.519+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1685,2020-02-12 10:53:40.997+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1686,2020-02-12 10:57:17.335+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1687,2020-02-12 10:58:07.793+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1688,2020-02-12 11:07:50.693+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1689,2020-02-12 12:31:37.258+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1690,2020-02-12 12:33:32.043+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1691,2020-02-12 12:37:50.57+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
1692,2020-02-12 12:38:48.112+00,2b45c629e577731c4df84fc34f936a89,5.000000000000000000,web,mxn,complete
